Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator PIC_AIRFACTORY-1500     -33.147mm     -39.751mm     184.658mm       6.604mm     -33.147mm     -39.751mm  T        360.00 Comment        
C16        0805_C               65.476mm      20.436mm      64.333mm      20.436mm      64.333mm      20.436mm  B        360.00 100PF          
C15        0805_C               65.476mm      22.976mm      64.333mm      22.976mm      64.333mm      22.976mm  B        360.00 100PF          
C14        0805_C               65.476mm      25.516mm      64.333mm      25.516mm      64.333mm      25.516mm  B        360.00 100PF          
Q5         SOT23                 20.33mm        48.1mm       19.38mm      49.254mm       19.38mm      49.254mm  B        270.00 2N3904         
Q3         SOT23                25.283mm        48.1mm      24.333mm      49.254mm      24.333mm      49.254mm  B        270.00 2N3904         
Q1         SOT23                25.537mm      43.528mm      24.587mm      44.682mm      24.587mm      44.682mm  B        270.00 2N3906         
C10        0805_C                46.99mm      11.673mm      45.847mm      11.673mm      45.847mm      11.673mm  B        360.00 0.1uF          
C13        0805_C              94.7692mm     24.3123mm     94.7692mm     25.4552mm     94.7692mm     25.4553mm  B        270.00 0.1uF          
R5         0805_R             103.4206mm     12.6128mm    104.5636mm     12.6128mm    104.5636mm     12.6128mm  B        180.00 220            
R6         0805_R             116.6368mm     16.0418mm    115.4938mm     16.0418mm    115.4938mm     16.0418mm  B        360.00 220            
R8         0805_R             116.6368mm     20.6138mm    115.4938mm     20.6138mm    115.4938mm     20.6138mm  B        360.00 220            
R9         0805_R             116.7078mm     25.1858mm    115.5648mm     25.1858mm    115.5648mm     25.1858mm  B        360.00 220            
R10        0805_R              89.3236mm     16.0418mm     88.1806mm     16.0418mm     88.1806mm     16.0418mm  B        360.00 220            
R11        0805_R              89.3236mm     20.6138mm     90.4666mm     20.6138mm     90.4666mm     20.6138mm  B        180.00 220            
R12        0805_R              89.2828mm     32.0438mm     88.1398mm     32.0438mm     88.1398mm     32.0438mm  B          0.00 220            
R13        0805_R              89.3082mm     25.1858mm     90.4512mm     25.1858mm     90.4512mm     25.1858mm  B        180.00 220            
R14        0805_R               24.765mm      10.922mm      25.908mm     10.9221mm      25.908mm      10.922mm  B        180.00 330            
R16        0805_R               32.501mm      30.749mm      33.644mm      30.749mm      33.644mm      30.749mm  B        180.00 330            
R17        0805_R               60.142mm      25.516mm      58.999mm      25.516mm      58.999mm      25.516mm  B        360.00 10K            
R18        0805_R               60.142mm     22.9761mm      58.999mm      22.976mm      58.999mm     22.9761mm  B        360.00 10K            
R19        0805_R               60.142mm     20.4361mm      58.999mm      20.436mm      58.999mm     20.4361mm  B        360.00 10K            
R20        0805_R               48.006mm      16.245mm      48.006mm      17.388mm      48.006mm      17.388mm  B        270.00 1k             
R21        0805_R              160.909mm       6.096mm     160.909mm       4.953mm     160.909mm       4.953mm  B         90.00 1K             
R23        0805_R              89.3336mm     27.4718mm     90.4766mm     27.4718mm     90.4766mm     27.4718mm  B        180.00 220            
R24        0805_R              89.2828mm     29.7578mm     90.4258mm     29.7578mm     90.4258mm     29.7578mm  B        180.00 220            
R25        0805_R               28.905mm      45.825mm      28.905mm      44.682mm      28.905mm      44.682mm  B         90.00 4.7K           
R26        0805_R              89.3236mm     22.8998mm     90.4666mm     22.8998mm     90.4666mm     22.8998mm  B        180.00 220            
R27        0805_R              89.3236mm     18.3278mm     90.4666mm     18.3278mm     90.4666mm     18.3278mm  B        180.00 220            
R29        0805_R             116.7078mm     27.4718mm    115.5648mm     27.4718mm    115.5648mm     27.4718mm  B        360.00 220            
R30        0805_R              20.3452mm      43.517mm     20.3452mm      42.374mm     20.3452mm      42.374mm  B         90.00 4.7K           
R31        0805_R              22.5042mm     41.2311mm     22.5042mm      40.088mm     22.5042mm     40.0881mm  B         90.00 100            
R32        0805_R             116.7078mm     22.8998mm    115.5648mm     22.8998mm    115.5648mm     22.8998mm  B        360.00 220            
R34        0805_R               20.612mm      52.186mm      19.469mm      52.186mm      19.469mm      52.186mm  B        360.00 4.7K           
R35        0805_R             116.6368mm     18.3278mm    115.4938mm     18.3278mm    115.4938mm     18.3278mm  B        360.00 220            
R36        0805_R               29.883mm      49.392mm      31.026mm      49.392mm      31.026mm      49.392mm  B        180.00 4.7K           
U3         SOP16                38.679mm     14.5305mm      34.234mm      17.388mm      34.234mm      17.388mm  B        270.00 ULN2004        
C23        0805_C               45.847mm      16.245mm      45.847mm      15.102mm      45.847mm      15.102mm  B         90.00 1nF            
C7         0805_C              165.806mm      42.915mm     164.663mm      42.915mm     164.663mm      42.915mm  B        360.00 0.1uF          
C8         0805_C               171.14mm      49.265mm      171.14mm      50.408mm      171.14mm      50.408mm  B        270.00 0.1uF          
C9         0805_C              173.553mm      49.265mm     173.553mm      50.408mm     173.553mm      50.408mm  B        270.00 1uF            
U2         SOT223              164.282mm      48.122mm     164.282mm      48.122mm     166.949mm      50.408mm  B        360.00 AMS1117-3.3    
C19        0805_C              173.355mm       29.58mm     172.212mm       29.58mm     172.212mm       29.58mm  B        360.00 0.1uF          
C20        0805_C             194.6282mm      42.534mm    195.7712mm      42.534mm    195.7712mm      42.534mm  B        180.00 0.1uF          
C21        0805_C              198.445mm      22.612mm     198.445mm      23.755mm     198.445mm      23.755mm  B        270.00 0.1uF          
C22        0805_C             186.7542mm      42.534mm    185.6112mm      42.534mm    185.6112mm      42.534mm  B        360.00 0.1uF          
LD14       LED_0805            165.425mm      34.025mm     166.568mm      34.025mm     166.568mm      34.025mm  B        180.00 LED_B          
LD15       LED_0805            165.425mm      18.912mm     166.568mm      18.912mm     166.568mm      18.912mm  B        180.00 LED_Y          
Q6         SOT23               160.969mm     24.1826mm     162.123mm     25.1326mm     162.123mm     25.1326mm  B        180.00 BSS138         
Q7         SOT23               160.969mm     28.5665mm     162.123mm     29.5165mm     162.123mm     29.5165mm  B        180.00 BSS138         
R39        0805_R               148.59mm      43.246mm     147.447mm      43.246mm     147.447mm      43.246mm  B        360.00 470            
R40        0805_R             186.7542mm      40.248mm    187.8972mm      40.248mm    187.8972mm      40.248mm  B        180.00 10K            
R41        0805_R              156.281mm     24.1826mm     155.138mm     24.1826mm     155.138mm     24.1826mm  B        360.00 10K            
R42        0805_R              156.281mm     28.5665mm     155.138mm     28.5665mm     155.138mm     28.5665mm  B        360.00 10K            
R44        0805_R              165.425mm       23.23mm     166.568mm       23.23mm     166.568mm       23.23mm  B        180.00 10K            
R45        0805_R              165.425mm      25.389mm     166.568mm      25.389mm     166.568mm      25.389mm  B        180.00 10K            
R46        0805_R              165.425mm      27.548mm     166.568mm      27.548mm     166.568mm      27.548mm  B        180.00 10K            
R47        0805_R              165.425mm      29.707mm     166.568mm      29.707mm     166.568mm      29.707mm  B        180.00 10K            
R48        0805_R              167.203mm     14.5433mm     167.203mm     15.6862mm     167.203mm     15.6862mm  B        270.00 10K            
R49        0805_R              159.456mm     18.8612mm     158.313mm     18.8612mm     158.313mm     18.8612mm  B        360.00 10K            
R50        0805_R              165.425mm      31.866mm     164.282mm      31.866mm     164.282mm      31.866mm  B        360.00 1K             
R51        0805_R              165.425mm      21.071mm     164.282mm      21.071mm     164.282mm      21.071mm  B        360.00 1K             
U7         EMW3165-P          186.7318mm      20.469mm    194.4318mm      30.469mm    194.4318mm      30.469mm  B          0.00 WIFI_3165      
Q8         SOT23                152.77mm      43.246mm     153.924mm      44.196mm     153.924mm      44.196mm  B        180.00 2N3906         
R52        0805_R              149.065mm       11.43mm     149.065mm      10.287mm     149.065mm      10.287mm  B         90.00 10K            
R53        0805_R              151.224mm       11.43mm     151.224mm      10.287mm     151.224mm      10.287mm  B         90.00 10K            
Q9         SOT23              150.1445mm      16.013mm    151.0945mm      14.859mm    151.0945mm      14.859mm  B         90.00 BSS138         
Q10        SOT23              154.4625mm      16.013mm    155.4125mm      14.859mm    155.4125mm      14.859mm  B         90.00 BSS138         
Q11        SOT23              145.8265mm      16.013mm    146.7765mm      14.859mm    146.7765mm      14.859mm  B         90.00 BSS138         
R54        0805_R             150.1445mm      20.596mm    150.1445mm      21.739mm    150.1445mm      21.739mm  B        270.00 10K            
R55        0805_R              153.383mm       11.43mm     153.383mm      10.287mm     153.383mm      10.287mm  B         90.00 10K            
R56        0805_R              155.542mm       11.43mm     155.542mm      10.287mm     155.542mm      10.287mm  B         90.00 10K            
R57        0805_R             154.4625mm      20.596mm    154.4625mm      21.739mm    154.4625mm      21.739mm  B        270.00 10K            
R58        0805_R              144.747mm       11.43mm     144.747mm      10.287mm     144.747mm      10.287mm  B         90.00 10K            
R59        0805_R              146.906mm       11.43mm     146.906mm      10.287mm     146.906mm      10.287mm  B         90.00 10K            
R60        0805_R             145.8265mm      20.596mm    145.8265mm      21.739mm    145.8265mm      21.739mm  B        270.00 10K            

