"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R13","0805_R","89.3082mm","25.1858mm","90.4512mm","25.1858mm","90.4512mm","25.1858mm","B","180.00","220"
"R12","0805_R","89.2828mm","32.0438mm","88.1398mm","32.0438mm","88.1398mm","32.0438mm","B","0.00","220"
"R11","0805_R","89.3236mm","20.6138mm","90.4666mm","20.6138mm","90.4666mm","20.6138mm","B","180.00","220"
"R10","0805_R","89.3236mm","16.0418mm","88.1806mm","16.0418mm","88.1806mm","16.0418mm","B","360.00","220"
"R9","0805_R","116.7078mm","25.1858mm","115.5648mm","25.1858mm","115.5648mm","25.1858mm","B","360.00","220"
"R8","0805_R","116.6368mm","20.6138mm","115.4938mm","20.6138mm","115.4938mm","20.6138mm","B","360.00","220"
"R6","0805_R","116.6368mm","16.0418mm","115.4938mm","16.0418mm","115.4938mm","16.0418mm","B","360.00","220"
"R5","0805_R","103.4206mm","12.6128mm","104.5636mm","12.6128mm","104.5636mm","12.6128mm","B","180.00","220"
"C13","0805_C","94.7692mm","24.3123mm","94.7692mm","25.4552mm","94.7692mm","25.4553mm","B","270.00","0.1uF"
"C10","0805_C","45.847mm","12.816mm","45.847mm","11.673mm","45.847mm","11.673mm","B","90.00","0.1uF"
"Q1","SOT23","25.537mm","43.528mm","24.587mm","44.682mm","24.587mm","44.682mm","B","270.00","2N3906"
"Q3","SOT23","25.283mm","48.1mm","24.333mm","49.254mm","24.333mm","49.254mm","B","270.00","2N3904"
"Q5","SOT23","20.33mm","48.1mm","19.38mm","49.254mm","19.38mm","49.254mm","B","270.00","2N3904"
"C14","0805_C","65.476mm","25.516mm","64.333mm","25.516mm","64.333mm","25.516mm","B","360.00","100PF"
"C15","0805_C","65.476mm","22.976mm","64.333mm","22.976mm","64.333mm","22.976mm","B","360.00","100PF"
"C16","0805_C","65.476mm","20.436mm","64.333mm","20.436mm","64.333mm","20.436mm","B","360.00","100PF"
"C17","0805_C","52.049mm","23.1561mm","52.049mm","22.013mm","52.049mm","22.013mm","B","90.00","0.1uF"
"U4","SOP20","103.2782mm","20.68mm","103.2782mm","20.68mm","97.5632mm","25.4552mm","B","270.00","TM1620"
"R15","0805_R","24.7904mm","11.7746mm","24.7904mm","12.9176mm","24.7904mm","12.9177mm","B","270.00","330"
